iter	MultiClass
0	1.027543691
1	0.9797282178
2	0.9591418061
3	0.9398513217
4	0.9265201524
5	0.9113035833
6	0.9010053027
7	0.8919268996
8	0.8843635609
9	0.8771581299
10	0.8673744656
11	0.8606950193
12	0.852947609
13	0.8456945788
14	0.8391197707
15	0.8334485579
16	0.8294439606
17	0.8247596423
18	0.8204625582
19	0.8166345786
20	0.8121657565
21	0.8076244622
22	0.8039559602
23	0.7985811609
24	0.7949490292
25	0.7897330619
26	0.7832549916
27	0.7776440436
28	0.7722982387
29	0.7663044287
30	0.7604930565
31	0.7548851575
32	0.7457479492
33	0.7393286073
34	0.7347429525
35	0.7293698911
36	0.7252462147
37	0.7213704696
38	0.7164917061
39	0.7131242942
40	0.7087098092
41	0.7064660868
42	0.7009793959
43	0.6972146707
44	0.6929557504
45	0.6887633879
46	0.6840074787
47	0.6801604086
48	0.6768253561
49	0.674070269
50	0.6699836121
51	0.667507587
52	0.6653374799
53	0.663393907
54	0.6614811338
55	0.658719932
56	0.6559443146
57	0.6529329367
58	0.6507219523
59	0.6469191468
60	0.6444344656
61	0.6416555698
62	0.6395194437
63	0.6377206922
64	0.6354346381
65	0.6324526213
66	0.6304999853
67	0.6281272198
68	0.6260546609
69	0.6246613459
70	0.6225077889
71	0.6208557741
72	0.6181904679
73	0.6159184808
74	0.613574246
75	0.6120961547
76	0.6105070696
77	0.60850272
78	0.6063107882
79	0.6040584273
80	0.6021525341
81	0.600273001
82	0.5991345456
83	0.5975251204
84	0.5940294846
85	0.5927361808
86	0.5909494361
87	0.589277798
88	0.587728366
89	0.5842557667
90	0.5829583339
91	0.5818975482
92	0.5810191439
93	0.5801793118
94	0.5785620539
95	0.5756285585
96	0.5746011515
97	0.5732933442
98	0.5720599777
99	0.5711307468
100	0.5692259563
101	0.5677226999
102	0.5665126045
103	0.5653012096
104	0.5638153223
105	0.5626846148
106	0.5606077654
107	0.5596061307
108	0.5570851514
109	0.5555392038
110	0.5547202575
111	0.5528436037
112	0.5499416682
113	0.5488032515
114	0.5474700285
115	0.5463402774
116	0.5451739689
117	0.54441128
118	0.543540601
119	0.5422951847
120	0.5410049362
121	0.5400769722
122	0.5385471959
123	0.5376316822
124	0.5369501836
125	0.5359879364
126	0.5349946213
127	0.5339820105
128	0.5333122514
129	0.5314201153
130	0.5306323995
131	0.5300573184
132	0.5294994629
133	0.5285772051
134	0.5278517099
135	0.526687397
136	0.525933281
137	0.5248447553
138	0.524383285
139	0.5230244124
140	0.5216080358
141	0.520756139
142	0.5199919514
143	0.5191375467
144	0.5169454028
145	0.5162061819
146	0.5143182434
147	0.513656437
148	0.5124001217
149	0.5112764683
150	0.5103675743
151	0.5099150797
152	0.5086480865
153	0.5080712464
154	0.5058700508
155	0.5053597691
156	0.5042975068
157	0.5035378127
158	0.5031429672
159	0.502672472
160	0.5021475344
161	0.501696725
162	0.5011492515
163	0.4999266325
164	0.4993033729
165	0.4986702982
166	0.4978428062
167	0.4968960479
168	0.4957329217
169	0.4950557157
170	0.4945527027
171	0.4934724418
172	0.4923147809
173	0.4905061496
174	0.4898136787
175	0.4890449697
176	0.4881815845
177	0.4873186453
178	0.4857754646
179	0.485238292
180	0.48417344
181	0.4831567576
182	0.4826696173
183	0.4820723969
184	0.4811534235
185	0.4806155474
186	0.4802122137
187	0.47959582
188	0.4785614443
189	0.4768029113
190	0.4754495242
191	0.4742032254
192	0.4735458307
193	0.4728956221
194	0.4717093087
195	0.4711054175
196	0.4703400244
197	0.469695651
198	0.469128993
199	0.4683523335
